|  time   |  reset   |RAM64[16] |RAM64[17] |
| 4       |        0 |        1 |        0 |
| 18      |        0 |        2 |        1 |
| 32      |        0 |        3 |        3 |
| 46      |        0 |        4 |        6 |
| 60      |        0 |        5 |       10 |
| 74      |        0 |        6 |       15 |
| 88      |        0 |        7 |       21 |
| 102     |        0 |        8 |       28 |
| 116     |        0 |        9 |       36 |
| 130     |        0 |       10 |       45 |
| 144     |        0 |       11 |       55 |
| 158     |        0 |       12 |       66 |
| 172     |        0 |       13 |       78 |
| 186     |        0 |       14 |       91 |
| 200     |        0 |       15 |      105 |
| 214     |        0 |       16 |      120 |
| 228     |        0 |       17 |      136 |
| 242     |        0 |       18 |      153 |
| 256     |        0 |       19 |      171 |
| 270     |        0 |       20 |      190 |
| 284     |        0 |       21 |      210 |
| 298     |        0 |       22 |      231 |
| 312     |        0 |       23 |      253 |
| 326     |        0 |       24 |      276 |
| 340     |        0 |       25 |      300 |
| 354     |        0 |       26 |      325 |
| 368     |        0 |       27 |      351 |
| 382     |        0 |       28 |      378 |
| 396     |        0 |       29 |      406 |
| 410     |        0 |       30 |      435 |
| 424     |        0 |       31 |      465 |
| 438     |        0 |       32 |      496 |
| 452     |        0 |       33 |      528 |
| 466     |        0 |       34 |      561 |
| 480     |        0 |       35 |      595 |
| 494     |        0 |       36 |      630 |
| 508     |        0 |       37 |      666 |
| 522     |        0 |       38 |      703 |
| 536     |        0 |       39 |      741 |
| 550     |        0 |       40 |      780 |
| 564     |        0 |       41 |      820 |
| 578     |        0 |       42 |      861 |
| 592     |        0 |       43 |      903 |
| 606     |        0 |       44 |      946 |
| 620     |        0 |       45 |      990 |
| 634     |        0 |       46 |     1035 |
| 648     |        0 |       47 |     1081 |
| 662     |        0 |       48 |     1128 |
| 676     |        0 |       49 |     1176 |
| 690     |        0 |       50 |     1225 |
| 704     |        0 |       51 |     1275 |
| 718     |        0 |       52 |     1326 |
| 732     |        0 |       53 |     1378 |
| 746     |        0 |       54 |     1431 |
| 760     |        0 |       55 |     1485 |
| 774     |        0 |       56 |     1540 |
| 788     |        0 |       57 |     1596 |
| 802     |        0 |       58 |     1653 |
| 816     |        0 |       59 |     1711 |
| 830     |        0 |       60 |     1770 |
| 844     |        0 |       61 |     1830 |
| 858     |        0 |       62 |     1891 |
| 872     |        0 |       63 |     1953 |
| 886     |        0 |       64 |     2016 |
| 900     |        0 |       65 |     2080 |
| 914     |        0 |       66 |     2145 |
| 928     |        0 |       67 |     2211 |
| 942     |        0 |       68 |     2278 |
| 956     |        0 |       69 |     2346 |
| 970     |        0 |       70 |     2415 |
| 984     |        0 |       71 |     2485 |
| 998     |        0 |       72 |     2556 |
| 1012    |        0 |       73 |     2628 |
| 1026    |        0 |       74 |     2701 |
| 1040    |        0 |       75 |     2775 |
| 1054    |        0 |       76 |     2850 |
| 1068    |        0 |       77 |     2926 |
| 1082    |        0 |       78 |     3003 |
| 1096    |        0 |       79 |     3081 |
| 1110    |        0 |       80 |     3160 |
| 1124    |        0 |       81 |     3240 |
| 1138    |        0 |       82 |     3321 |
| 1152    |        0 |       83 |     3403 |
| 1166    |        0 |       84 |     3486 |
| 1180    |        0 |       85 |     3570 |
| 1194    |        0 |       86 |     3655 |
| 1208    |        0 |       87 |     3741 |
| 1222    |        0 |       88 |     3828 |
| 1236    |        0 |       89 |     3916 |
| 1250    |        0 |       90 |     4005 |
| 1264    |        0 |       91 |     4095 |
| 1278    |        0 |       92 |     4186 |
| 1292    |        0 |       93 |     4278 |
| 1306    |        0 |       94 |     4371 |
| 1320    |        0 |       95 |     4465 |
| 1334    |        0 |       96 |     4560 |
| 1348    |        0 |       97 |     4656 |
| 1362    |        0 |       98 |     4753 |
| 1376    |        0 |       99 |     4851 |
| 1390    |        0 |      100 |     4950 |
| 1404    |        0 |      101 |     5050 |
| 1418    |        0 |      101 |     5050 |
| 1432    |        0 |      101 |     5050 |
| 1433    |        1 |      101 |     5050 |
| 2847    |        0 |      101 |     5050 |
